strike_otm_pct,horizon_days,direction,empirical_prob,bs_normal_prob,edge_absolute,edge_multiplier,threshold_log_ret
0.0,7,up,0.5442160611854685,0.5361765831461721,0.008039478039296388,1.0149940864483906,0.0
0.0,7,down,0.45578393881453155,0.4638234168538279,-0.008039478039296333,0.9826669423164766,0.0
0.0,14,up,0.5585348336126407,0.5503826888358203,0.008152144776820358,1.014811775410422,0.0
0.0,14,down,0.44146516638735933,0.4496173111641797,-0.008152144776820358,0.981868703507629,0.0
0.0,30,up,0.5623648161499639,0.5715565019767794,-0.00919168582681551,0.9839181501828337,0.0
0.0,30,down,0.437635183850036,0.4284434980232205,0.00919168582681551,1.0214536709489692,0.0
0.0,60,up,0.5770999757927863,0.6001587894967687,-0.02305881370398244,0.9615788119618857,0.0
0.0,60,down,0.42290002420721373,0.3998412105032313,0.02305881370398244,1.0576699277069543,0.0
0.0,90,up,0.5966837356742258,0.6196192194198842,-0.022935483745658347,0.9629845507905136,0.0
0.0,90,down,0.4033162643257742,0.3803807805801158,0.022935483745658403,1.060296116198825,0.0
5.0,7,up,0.27127151051625237,0.334504339125792,-0.06323282860953966,0.810965595319944,0.04879016416943205
5.0,7,down,0.20004780114722753,0.2624819706766179,-0.06243416952939035,0.7621392076246247,-0.05129329438755058
5.0,14,up,0.35719415848695235,0.407523729525075,-0.050329571038122634,0.8764990419164638,0.04879016416943205
5.0,14,down,0.25448886760833134,0.3065429032182734,-0.05205403560994204,0.8301900482332255,-0.05129329438755058
5.0,30,up,0.44628695025234316,0.47794218426959045,-0.03165523401724729,0.9337676500231423,0.04879016416943205
5.0,30,down,0.3073780341264119,0.3342943686816127,-0.026916334555200816,0.919483134994606,-0.05129329438755058
5.0,60,up,0.5204550956184943,0.5373453481069037,-0.016890252488409363,0.9685672304637705,0.04879016416943205
5.0,60,down,0.34156378600823045,0.33652076614295334,0.00504301986527711,1.0149857612743425,-0.05129329438755058
5.0,90,up,0.539624481833699,0.5709163499157983,-0.03129186808209927,0.9451900999389589,0.04879016416943205
5.0,90,down,0.34406242379907337,0.33116199154453646,0.012900432254536909,1.038955050953672,-0.05129329438755058
10.0,7,up,0.14149139579349904,0.17834066677932903,-0.03684927098582999,0.7933770706855904,0.09531017980432495
10.0,7,down,0.08747609942638623,0.11312272627881187,-0.025646626852425636,0.7732849295974817,-0.10536051565782628
10.0,14,up,0.22599952118745512,0.28173622764940154,-0.05573670646194642,0.8021670591426164,0.09531017980432495
10.0,14,down,0.14603782619104622,0.18267506243438714,-0.03663723624334092,0.7994404066154338,-0.10536051565782628
10.0,30,up,0.34583032924777696,0.3897344055767842,-0.043904076329007224,0.8873487285167144,0.09531017980432495
10.0,30,down,0.21821677481374668,0.24533889583389845,-0.027122121020151768,0.8894503827941158,-0.10536051565782628
10.0,60,up,0.4553376906318083,0.4765489492602518,-0.02121125862844353,0.9554898638190897,0.09531017980432495
10.0,60,down,0.2699104333091261,0.274488468763018,-0.004578035453891904,0.9833215745837236,-0.10536051565782628
10.0,90,up,0.4864667154352597,0.523438883299762,-0.03697216786450225,0.9293667913407015,0.09531017980432495
10.0,90,down,0.28627164106315534,0.28227936991598573,0.0039922711471696015,1.0141429788098146,-0.10536051565782628
20.0,7,up,0.0365678776290631,0.0324418057586493,0.004126071870413799,1.127183791836672,0.1823215567939546
20.0,7,down,0.016491395793499043,0.006921010996340666,0.009570384797158377,2.3828015592257414,-0.2231435513142097
20.0,14,up,0.10342350969595403,0.1111026607306107,-0.0076791510346566755,0.9308823840567039,0.1823215567939546
20.0,14,down,0.03638975341153938,0.037898907171839434,-0.0015091537603000513,0.9601794913648217,-0.2231435513142097
20.0,30,up,0.2160538332131699,0.2418769756489053,-0.025823142435735413,0.8932385260463204,0.1823215567939546
20.0,30,down,0.08002883922134102,0.10417326753095091,-0.02414442830960989,0.7682281752136042,-0.2231435513142097
20.0,60,up,0.3437424352457032,0.3653570913689582,-0.021614656123255027,0.940839642547331,0.1823215567939546
20.0,60,down,0.14185427257322683,0.16217209420852013,-0.020317821635293304,0.8747144400246275,-0.2231435513142097
20.0,90,up,0.41209461107047063,0.4342692970742845,-0.022174686003813893,0.9489379374659757,0.1823215567939546
20.0,90,down,0.18093148012679836,0.18950837399356563,-0.008576893866767271,0.9547413463266881,-0.2231435513142097
30.0,7,up,0.008126195028680689,0.003504876041328764,0.004621318987351925,2.318539923483256,0.26236426446749106
30.0,7,down,0.0033460803059273425,5.225241416371115e-05,0.0032938278917636313,inf,-0.35667494393873245
30.0,14,up,0.04022025377064879,0.03497906522309879,0.005241188547549999,1.149837867710911,0.26236426446749106
30.0,14,down,0.009815657170217859,0.002869154175670828,0.006946502994547031,3.4210978459959858,-0.35667494393873245
30.0,30,up,0.13025714972362412,0.1385437937210232,-0.00828664399739909,0.940187548104209,0.26236426446749106
30.0,30,down,0.028118240807498196,0.02851481126429124,-0.00039657045679304323,0.9860924747803026,-0.35667494393873245
30.0,60,up,0.24715565238441056,0.2720315743724022,-0.024875921987991656,0.9085550195951249,0.26236426446749106
30.0,60,down,0.06947470346163157,0.0772965489553746,-0.00782184549374304,0.8988073128819916,-0.35667494393873245
30.0,90,up,0.3245549865886369,0.35500136706331975,-0.030446380474682844,0.9142358782262033,0.26236426446749106
30.0,90,down,0.09436722750548647,0.1104889253461232,-0.01612169784063673,0.8540876581962121,-0.35667494393873245
