window_num,strategy,param_name,optimal_value
1,B,BASE_RISK_PCT,0.02
1,B,TAKE_PROFIT_MULT,2.0
1,B,STOP_LOSS_FLOOR,0.25
1,C,PRE_RISK_PCT,0.02
1,C,POST_TP_MULT,1.5
1,C,POST_SL_FLOOR,0.2
1,D,LONG_RISK_PCT,0.03
1,D,LONG_TP_MULT,2.0
1,D,LONG_SL_FLOOR,0.2
2,B,BASE_RISK_PCT,0.02
2,B,TAKE_PROFIT_MULT,2.0
2,B,STOP_LOSS_FLOOR,0.25
2,C,PRE_RISK_PCT,0.02
2,C,POST_TP_MULT,1.5
2,C,POST_SL_FLOOR,0.2
2,D,LONG_RISK_PCT,0.03
2,D,LONG_TP_MULT,2.0
2,D,LONG_SL_FLOOR,0.2
3,B,BASE_RISK_PCT,0.02
3,B,TAKE_PROFIT_MULT,2.0
3,B,STOP_LOSS_FLOOR,0.25
3,C,PRE_RISK_PCT,0.02
3,C,POST_TP_MULT,1.5
3,C,POST_SL_FLOOR,0.2
3,D,LONG_RISK_PCT,0.03
3,D,LONG_TP_MULT,2.0
3,D,LONG_SL_FLOOR,0.2
4,B,BASE_RISK_PCT,0.02
4,B,TAKE_PROFIT_MULT,2.0
4,B,STOP_LOSS_FLOOR,0.25
4,C,PRE_RISK_PCT,0.02
4,C,POST_TP_MULT,1.5
4,C,POST_SL_FLOOR,0.2
4,D,LONG_RISK_PCT,0.03
4,D,LONG_TP_MULT,2.0
4,D,LONG_SL_FLOOR,0.2
5,B,BASE_RISK_PCT,0.02
5,B,TAKE_PROFIT_MULT,2.0
5,B,STOP_LOSS_FLOOR,0.25
5,C,PRE_RISK_PCT,0.02
5,C,POST_TP_MULT,1.5
5,C,POST_SL_FLOOR,0.2
5,D,LONG_RISK_PCT,0.015
5,D,LONG_TP_MULT,2.0
5,D,LONG_SL_FLOOR,0.2
6,B,BASE_RISK_PCT,0.02
6,B,TAKE_PROFIT_MULT,2.0
6,B,STOP_LOSS_FLOOR,0.25
6,C,PRE_RISK_PCT,0.02
6,C,POST_TP_MULT,1.5
6,C,POST_SL_FLOOR,0.2
6,D,LONG_RISK_PCT,0.015
6,D,LONG_TP_MULT,2.0
6,D,LONG_SL_FLOOR,0.2
7,B,BASE_RISK_PCT,0.02
7,B,TAKE_PROFIT_MULT,2.0
7,B,STOP_LOSS_FLOOR,0.25
7,C,PRE_RISK_PCT,0.02
7,C,POST_TP_MULT,1.5
7,C,POST_SL_FLOOR,0.2
7,D,LONG_RISK_PCT,0.015
7,D,LONG_TP_MULT,2.0
7,D,LONG_SL_FLOOR,0.2
8,B,BASE_RISK_PCT,0.02
8,B,TAKE_PROFIT_MULT,2.0
8,B,STOP_LOSS_FLOOR,0.25
8,C,PRE_RISK_PCT,0.02
8,C,POST_TP_MULT,1.5
8,C,POST_SL_FLOOR,0.2
8,D,LONG_RISK_PCT,0.03
8,D,LONG_TP_MULT,2.0
8,D,LONG_SL_FLOOR,0.2
9,B,BASE_RISK_PCT,0.02
9,B,TAKE_PROFIT_MULT,2.0
9,B,STOP_LOSS_FLOOR,0.25
9,C,PRE_RISK_PCT,0.02
9,C,POST_TP_MULT,1.5
9,C,POST_SL_FLOOR,0.2
9,D,LONG_RISK_PCT,0.015
9,D,LONG_TP_MULT,2.0
9,D,LONG_SL_FLOOR,0.2
10,B,BASE_RISK_PCT,0.02
10,B,TAKE_PROFIT_MULT,2.0
10,B,STOP_LOSS_FLOOR,0.25
10,C,PRE_RISK_PCT,0.02
10,C,POST_TP_MULT,1.5
10,C,POST_SL_FLOOR,0.2
10,D,LONG_RISK_PCT,0.015
10,D,LONG_TP_MULT,2.0
10,D,LONG_SL_FLOOR,0.2
11,B,BASE_RISK_PCT,0.02
11,B,TAKE_PROFIT_MULT,2.0
11,B,STOP_LOSS_FLOOR,0.25
11,C,PRE_RISK_PCT,0.02
11,C,POST_TP_MULT,1.5
11,C,POST_SL_FLOOR,0.2
11,D,LONG_RISK_PCT,0.015
11,D,LONG_TP_MULT,2.0
11,D,LONG_SL_FLOOR,0.2
12,B,BASE_RISK_PCT,0.04
12,B,TAKE_PROFIT_MULT,3.0
12,B,STOP_LOSS_FLOOR,0.25
12,C,PRE_RISK_PCT,0.02
12,C,POST_TP_MULT,3.0
12,C,POST_SL_FLOOR,0.2
12,D,LONG_RISK_PCT,0.015
12,D,LONG_TP_MULT,2.0
12,D,LONG_SL_FLOOR,0.2
13,B,BASE_RISK_PCT,0.04
13,B,TAKE_PROFIT_MULT,3.0
13,B,STOP_LOSS_FLOOR,0.25
13,C,PRE_RISK_PCT,0.02
13,C,POST_TP_MULT,3.0
13,C,POST_SL_FLOOR,0.2
13,D,LONG_RISK_PCT,0.015
13,D,LONG_TP_MULT,2.0
13,D,LONG_SL_FLOOR,0.2
14,B,BASE_RISK_PCT,0.04
14,B,TAKE_PROFIT_MULT,2.0
14,B,STOP_LOSS_FLOOR,0.25
14,C,PRE_RISK_PCT,0.02
14,C,POST_TP_MULT,1.5
14,C,POST_SL_FLOOR,0.2
14,D,LONG_RISK_PCT,0.015
14,D,LONG_TP_MULT,2.0
14,D,LONG_SL_FLOOR,0.2
15,B,BASE_RISK_PCT,0.02
15,B,TAKE_PROFIT_MULT,2.0
15,B,STOP_LOSS_FLOOR,0.25
15,C,PRE_RISK_PCT,0.02
15,C,POST_TP_MULT,1.5
15,C,POST_SL_FLOOR,0.2
15,D,LONG_RISK_PCT,0.015
15,D,LONG_TP_MULT,2.0
15,D,LONG_SL_FLOOR,0.2
16,B,BASE_RISK_PCT,0.02
16,B,TAKE_PROFIT_MULT,2.0
16,B,STOP_LOSS_FLOOR,0.25
16,C,PRE_RISK_PCT,0.02
16,C,POST_TP_MULT,1.5
16,C,POST_SL_FLOOR,0.2
16,D,LONG_RISK_PCT,0.03
16,D,LONG_TP_MULT,3.5
16,D,LONG_SL_FLOOR,0.2
17,B,BASE_RISK_PCT,0.02
17,B,TAKE_PROFIT_MULT,2.0
17,B,STOP_LOSS_FLOOR,0.25
17,C,PRE_RISK_PCT,0.02
17,C,POST_TP_MULT,1.5
17,C,POST_SL_FLOOR,0.2
17,D,LONG_RISK_PCT,0.03
17,D,LONG_TP_MULT,3.5
17,D,LONG_SL_FLOOR,0.2
18,B,BASE_RISK_PCT,0.02
18,B,TAKE_PROFIT_MULT,2.0
18,B,STOP_LOSS_FLOOR,0.25
18,C,PRE_RISK_PCT,0.04
18,C,POST_TP_MULT,1.5
18,C,POST_SL_FLOOR,0.2
18,D,LONG_RISK_PCT,0.03
18,D,LONG_TP_MULT,2.0
18,D,LONG_SL_FLOOR,0.2
19,B,BASE_RISK_PCT,0.02
19,B,TAKE_PROFIT_MULT,2.0
19,B,STOP_LOSS_FLOOR,0.25
19,C,PRE_RISK_PCT,0.04
19,C,POST_TP_MULT,1.5
19,C,POST_SL_FLOOR,0.2
19,D,LONG_RISK_PCT,0.015
19,D,LONG_TP_MULT,2.0
19,D,LONG_SL_FLOOR,0.2
20,B,BASE_RISK_PCT,0.04
20,B,TAKE_PROFIT_MULT,2.0
20,B,STOP_LOSS_FLOOR,0.25
20,C,PRE_RISK_PCT,0.02
20,C,POST_TP_MULT,1.5
20,C,POST_SL_FLOOR,0.2
20,D,LONG_RISK_PCT,0.015
20,D,LONG_TP_MULT,2.0
20,D,LONG_SL_FLOOR,0.2
21,B,BASE_RISK_PCT,0.04
21,B,TAKE_PROFIT_MULT,2.0
21,B,STOP_LOSS_FLOOR,0.25
21,C,PRE_RISK_PCT,0.02
21,C,POST_TP_MULT,1.5
21,C,POST_SL_FLOOR,0.2
21,D,LONG_RISK_PCT,0.015
21,D,LONG_TP_MULT,2.0
21,D,LONG_SL_FLOOR,0.2
