regime,strike_otm_pct,horizon,put_empirical,put_bs,put_edge_mult,call_empirical,call_bs,call_edge_mult
LOW,10.0,30,0.05934718100890208,0.09138115473270436,0.6494466083570111,0.39861523244312563,0.4585754864887609,0.8692467089666277
LOW,20.0,30,0.0,0.014802245796828668,0.0,0.19287833827893175,0.23366933778769194,0.8254328107617517
LOW,30.0,30,0.0,0.0008707443432756916,0.0,0.11078140454995054,0.09684678026187621,1.1438831962239193
MEDIUM,10.0,30,0.2396636299929923,0.22118777222546887,1.083530195099076,0.350385423966363,0.3505098725295863,0.9996449499059037
MEDIUM,20.0,30,0.06306937631394534,0.07430926509829154,0.8487417582520995,0.212333566923616,0.18847983946206948,1.1265585090141534
MEDIUM,30.0,30,0.007708479327259986,0.013514925949687761,0.5703678552110807,0.11422564821303434,0.08962468116439082,1.274488753868146
HIGH,10.0,30,0.2176063303659743,0.25903959181477243,0.8400504681213936,0.35113748763600394,0.38789157386863593,0.9052464948746755
HIGH,20.0,30,0.10682492581602374,0.11646766695864486,0.9172067115756252,0.228486646884273,0.245550684291578,0.9305070663658083
HIGH,30.0,30,0.036597428288822946,0.034960069949675765,1.0468350990574138,0.12759643916913946,0.1445808179045407,0.882526748834585
CRISIS,10.0,30,0.31711409395973156,0.3206822452527589,0.9888732496237359,0.3288590604026846,0.4038449534855171,0.8143200937992613
CRISIS,20.0,30,0.16610738255033558,0.18887378304144842,0.8794623577475719,0.24496644295302014,0.29084493860157845,0.8422578853558591
CRISIS,30.0,30,0.06040268456375839,0.08787245643817404,0.6873904180231603,0.19630872483221476,0.20219671455148402,0.9708798942043638
